misses,refs,ratio
7106118,7403327,95.99
7286390,7577679,96.16
7254071,7541957,96.18
6488368,6871591,94.42
6795520,7132775,95.27
5774950,6092821,94.78
3820534,4185343,91.28
5723799,6131448,93.35
8341548,8579154,97.23
8397932,8699873,96.53
9146774,9411068,97.19
9073082,9336790,97.18
7467591,7687480,97.14
7950514,8104372,98.1
8091383,8240187,98.19
7211534,7347079,98.16
7249676,7403772,97.92
8200067,8360787,98.08
8105622,8246987,98.29
8319211,8475298,98.16
8352951,8503284,98.23
8363027,8568948,97.6
7769120,7932197,97.94
7928319,8074566,98.19
7796919,7934242,98.27
7823923,7970317,98.16
8327342,8483169,98.16
8329792,8480480,98.22
8301173,8442386,98.33
8175592,8333474,98.11
8308207,8471581,98.07
8687304,8837237,98.3
8025010,8181142,98.09
8275311,8431499,98.15
8263495,8416242,98.19
7633674,7769175,98.26
8009985,8170262,98.04
7217141,7357458,98.09
8718967,8946181,97.46
9472133,9715715,97.49
9656311,9873792,97.8
9685740,9943039,97.41
9720614,9937450,97.82
9844093,10006239,98.38
9836406,10000556,98.36
9820339,10012664,98.08
9940236,10153713,97.9
9758670,9997147,97.61
9843285,10080423,97.65
9891073,10112413,97.81
9778643,10033194,97.46
9688865,9920625,97.66
9649147,9878105,97.68
9384987,9597720,97.78
9231051,9473850,97.44
9025744,9250560,97.57
9496884,9751637,97.39
9512238,9753401,97.53
9382986,9634162,97.39
9422641,9686578,97.28
9283536,9569905,97.01
9212917,9463791,97.35
9237826,9505253,97.19
9142217,9408611,97.17
9049482,9265934,97.66
9254315,9504289,97.37
9126005,9289181,98.24
9093550,9322956,97.54
9105251,9341621,97.47
9133950,9365391,97.53
9227760,9453758,97.61
9090149,9314904,97.59
9148174,9341761,97.93
9083944,9344075,97.22
9066215,9319859,97.28
9137984,9328272,97.96
9118672,9309673,97.95
9070599,9299586,97.54
9143964,9379892,97.48
9050695,9259622,97.74
9024437,9186801,98.23
9125656,9290476,98.23
9105000,9354600,97.33
8728273,8977378,97.23
8879878,9134116,97.22
8804404,9053178,97.25
8872524,9102346,97.48
9296342,9546447,97.38
7708887,7912583,97.43
7184227,7396355,97.13
7602164,7793349,97.55
7755862,7952250,97.53
,Average,97.4540217391304
