misses,refs,ratio
30142974,30148879,99.98
30165952,30203275,99.88
30245167,30283918,99.87
30214479,30253184,99.87
30370715,30376937,99.98
30072076,30110085,99.87
30183307,30220142,99.88
30153173,30160276,99.98
26469071,26519057,99.81
27229783,27258427,99.89
27200921,27223011,99.92
27225338,27247389,99.92
27191607,27200753,99.97
27230134,27254190,99.91
27206375,27211661,99.98
26244556,26251962,99.97
26672740,26681737,99.97
27836733,27847633,99.96
26536589,26539403,99.99
28730466,28757686,99.91
26152238,26160521,99.97
29214404,29247702,99.89
28447635,28482457,99.88
26251213,26272334,99.92
27374805,27421920,99.83
29302624,29312528,99.97
28621859,28677655,99.81
29919436,29962120,99.86
26655648,26665219,99.96
28448692,28462607,99.95
29035841,29077259,99.86
29664741,29667738,99.99
29628047,29630265,99.99
26833996,26850894,99.94
27958530,27969616,99.96
27580633,27584798,99.98
25068298,25100779,99.87
23262489,23307048,99.81
28513800,28548652,99.88
28581037,28583051,99.99
28542480,28545522,99.99
28365256,28403630,99.86
28306953,28318838,99.96
23316238,23341111,99.89
23254609,23293029,99.84
26539752,26557341,99.93
27835016,27850388,99.94
28409131,28429361,99.93
28336665,28356406,99.93
28326907,28376669,99.82
28241059,28246861,99.98
27083687,27103218,99.93
25911640,25927161,99.94
26624665,26628447,99.99
28408568,28415441,99.98
27693648,27709192,99.94
30226661,30262870,99.88
30274903,30312030,99.88
30383840,30391192,99.98
25509069,25540320,99.88
22578088,22579085,100
28756004,28759738,99.99
29975676,29977558,99.99
28456326,28471978,99.95
27122028,27176890,99.8
25494867,25531387,99.86
30199584,30203268,99.99
30254863,30257348,99.99
30283846,30319257,99.88
30253426,30261147,99.97
30329787,30367391,99.88
30193928,30228980,99.88
30031043,30033041,99.99
30003319,30005209,99.99
30096988,30129756,99.89
30278407,30284800,99.98
30262549,30296443,99.89
29990812,29993034,99.99
30000036,30001746,99.99
30050964,30084316,99.89
30285943,30293852,99.97
29578409,29623946,99.85
28028138,28061666,99.88
27301476,27302340,100
25946154,25952858,99.97
,Average,99.9264705882353
