misses,refs,ratio
8926935,9578768,93.2
10927552,11609190,94.13
10803983,11293773,95.66
10846432,11563722,93.8
11029655,11563908,95.38
11026956,11525139,95.68
10919188,11452537,95.34
11049517,11585243,95.38
10863213,11415896,95.16
10985217,11630695,94.45
10962147,11602910,94.48
11016827,11650733,94.56
11034264,11516208,95.82
10624200,11023568,96.38
10571517,10852952,97.41
10841195,11399705,95.1
10858582,11461737,94.74
10762744,11242259,95.73
10885138,11465254,94.94
10914123,11534480,94.62
10922094,11621295,93.98
10910258,11590652,94.13
10927473,11605694,94.16
10876904,11559415,94.1
10884590,11580754,93.99
10902827,11594929,94.03
10914011,11606809,94.03
10905040,11592053,94.07
10866555,11552600,94.06
10829368,11535497,93.88
10894303,11620022,93.75
10869305,11606255,93.65
10848663,11573713,93.74
10878667,11604427,93.75
10849589,11566813,93.8
10806977,11541845,93.63
10893626,11624205,93.72
10859131,11592625,93.67
10864374,11600210,93.66
10866885,11611780,93.59
10897930,11612100,93.85
10852979,11549499,93.97
10757572,11225618,95.83
10748379,11199652,95.97
10968314,11213232,97.82
10842416,11287795,96.05
10607544,11027029,96.2
10182927,10562525,96.41
10702011,11065920,96.71
10732072,11279861,95.14
10902017,11584733,94.11
10554369,10968714,96.22
10951520,11241636,97.42
11014962,11336561,97.16
11060568,11357729,97.38
11013980,11319650,97.3
11008202,11334750,97.12
10946752,11292484,96.94
10996845,11325899,97.09
11014719,11317191,97.33
11028553,11348324,97.18
10973805,11295307,97.15
10927055,11257906,97.06
10580598,10838400,97.62
11216826,11514963,97.41
11162295,11494490,97.11
11174786,11496303,97.2
11121398,11466826,96.99
11116097,11462017,96.98
11252811,11561781,97.33
11075609,11441445,96.8
11313460,11606057,97.48
11172881,11497560,97.18
11113463,11479059,96.82
11092657,11443329,96.94
11108860,11457105,96.96
11068713,11431254,96.83
11108733,11455262,96.97
11150867,11483461,97.1
11096790,11484885,96.62
11007187,11326032,97.18
10551943,10802295,97.68
10031556,10455621,95.94
10313315,10529772,97.94
10323881,10710435,96.39
10426842,10821841,96.35
10418097,10739583,97.01
10741373,11110858,96.67
10693216,10990797,97.29
10219177,10483090,97.48
10492629,10959408,95.74
10777797,11192817,96.29
10824392,11324092,95.59
10673297,11029160,96.77
10752170,11141752,96.5
10800510,11355800,95.11
10075373,10361432,97.24
10373660,10928911,94.92
10638178,11325445,93.93
10726941,11432527,93.83
10669459,11386349,93.7
10680364,11380893,93.84
10691739,11428719,93.55
10714670,11405779,93.94
9602615,9890770,97.09
10394964,10693652,97.21
,Average,95.6818867924529
