misses,refs,ratio
10066244,10340582,97.35
10014010,10280164,97.41
10368623,10724764,96.68
10327346,10620204,97.24
10259142,10555904,97.19
10653659,10958158,97.22
10895484,11430243,95.32
9497199,9774157,97.17
10145582,10392748,97.62
10999615,11500733,95.64
10742749,11236382,95.61
10857760,11458241,94.76
10956019,11610254,94.37
10922270,11580506,94.32
10355125,10681986,96.94
11036684,11564444,95.44
10033629,10440755,96.1
10375037,10693240,97.02
10943221,11603035,94.31
10964472,11626162,94.31
10931460,11605630,94.19
10913473,11494272,94.95
10990605,11509041,95.5
10679429,11141790,95.85
10459617,10752579,97.28
9583394,9799054,97.8
10241229,10448597,98.02
9518840,9770770,97.42
9262583,9544256,97.05
10190648,10536752,96.72
10719024,11060864,96.91
10826885,11310525,95.72
9972386,10218637,97.59
9771854,10004192,97.68
10239585,10558254,96.98
10411036,10730671,97.02
10154628,10479828,96.9
10550307,10853401,97.21
8523108,8849210,96.31
8475988,8800114,96.32
10445758,10796140,96.75
10078362,10343360,97.44
10240765,10531778,97.24
10033938,10295125,97.46
10238983,10477806,97.72
10158351,10399156,97.68
10495564,10920845,96.11
10701260,11132158,96.13
10801828,11289882,95.68
10961170,11538014,95
10826252,11389408,95.06
10497256,10827362,96.95
10518833,10840396,97.03
10935765,11574334,94.48
10949518,11572694,94.62
10926877,11579634,94.36
10931013,11573136,94.45
10943233,11600365,94.34
10958463,11601762,94.46
10935364,11597598,94.29
10908742,11555605,94.4
10862046,11522167,94.27
10699343,11328004,94.45
10885607,11459378,94.99
10559028,10925402,96.65
10983198,11450806,95.92
10368420,10621656,97.62
10289691,10521918,97.79
10544922,10828578,97.38
10189895,10427950,97.72
10264721,10507318,97.69
9960463,10216766,97.49
10196285,10412659,97.92
9680549,9919001,97.6
10156532,10406904,97.59
10426823,10792941,96.61
10327521,10643483,97.03
10058858,10307791,97.59
9981026,10229731,97.57
10101422,10344451,97.65
9990774,10250648,97.46
10290036,10512574,97.88
10361747,10598731,97.76
10589489,10884177,97.29
10227925,10543199,97.01
10286591,10534882,97.64
10101898,10329632,97.8
10241982,10459246,97.92
9894828,10123070,97.75
10012322,10256531,97.62
9970871,10194536,97.81
9929379,10189037,97.45
10267744,10500358,97.78
10137292,10388906,97.58
9883364,10124701,97.62
10347138,10567844,97.91
10286504,10509385,97.88
10110559,10350063,97.69
10189315,10416201,97.82
10224661,10452985,97.82
10031314,10254189,97.83
10340492,10558270,97.94
10531887,10741519,98.05
10435065,10647087,98.01
10211057,10442087,97.79
10313572,10634985,96.98
10662371,11042999,96.55
9420364,9649229,97.63
9919312,10154290,97.69
10260818,10498873,97.73
10553012,10842446,97.33
10475507,10789190,97.09
10232649,10463603,97.79
9856854,10075628,97.83
9638185,9855795,97.79
9978989,10220145,97.64
10205632,10436615,97.79
10603927,10835333,97.86
10355263,10578057,97.89
10003885,10229797,97.79
9773617,9992762,97.81
9586404,9816401,97.66
9560623,9787169,97.69
9640728,9852398,97.85
9931922,10175127,97.61
9812046,10074231,97.4
10675385,11162624,95.64
10704124,11192883,95.63
10158213,10543028,96.35
10252966,10573020,96.97
9796964,10135866,96.66
8684435,8983165,96.67
9625158,9934617,96.89
8335259,8653827,96.32
8491802,8775083,96.77
10798886,11145053,96.89
10733840,11011487,97.48
10831725,11351435,95.42
10360617,10779145,96.12
8190259,8492110,96.45
9858351,10161235,97.02
9977664,10293162,96.93
10390875,10734088,96.8
8158758,8448644,96.57
8804466,9112210,96.62
9820296,10122297,97.02
9703278,9984359,97.18
9905408,10192174,97.19
9880634,10282800,96.09
9826838,10081680,97.47
,,96.8018666666667
