misses,refs,ratio
32465551,33039607,98.26
35860772,36336773,98.69
34553994,34888668,99.04
34268382,34656288,98.88
34971164,35471592,98.59
34967144,35305081,99.04
35210608,35621986,98.85
35049376,35528600,98.65
35050973,35626201,98.39
34914817,35435716,98.53
35268896,35747668,98.66
35154298,35827491,98.12
35185729,35894835,98.02
35118947,35668914,98.46
35060301,35532717,98.67
34988369,35513733,98.52
35206041,35726956,98.54
35131009,35686703,98.44
35210063,35795609,98.36
35107333,35619279,98.56
35059291,35532412,98.67
35011843,35397581,98.91
35190237,35641480,98.73
35250821,35608613,99
35103293,35619763,98.55
35262778,35879510,98.28
35089957,35605466,98.55
34923888,35471396,98.46
35108890,36118076,97.21
35271136,35947617,98.12
35304640,35878346,98.4
35194699,35650457,98.72
35154369,35535789,98.93
35121626,35579445,98.71
34468028,34909238,98.74
35205611,36392729,96.74
35194860,36314809,96.92
35182398,36057089,97.57
35198827,35824734,98.25
35145343,35593685,98.74
33025327,33602428,98.28
25927517,26619234,97.4
24052993,25065278,95.96
28286374,28930474,97.77
25773774,26698607,96.54
25710776,26722940,96.21
24984089,25770016,96.95
23890081,24491987,97.54
24093031,25285507,95.28
29440402,30032983,98.03
27832296,28567337,97.43
25050913,25970970,96.46
24134888,24914387,96.87
24323169,25033972,97.16
25260939,26023798,97.07
25380486,26028905,97.51
26719834,27492721,97.19
27090117,28030642,96.64
24836370,25828558,96.16
24316064,25338629,95.96
28583855,29672631,96.33
28298117,29046803,97.42
29480071,29962690,98.39
30542267,31010933,98.49
30846502,31458383,98.05
30378197,30901915,98.31
33528899,34156867,98.16
37311407,37763739,98.8
37398227,37980262,98.47
37393330,38239438,97.79
36357795,37253388,97.6
37412825,38168636,98.02
37396395,38234144,97.81
37382976,37959395,98.48
37187653,37766340,98.47
37173807,38261978,97.16
37415790,38043533,98.35
37444947,38053063,98.4
37313028,37988827,98.22
37305566,37983314,98.22
37381255,37960343,98.47
37272210,38027922,98.01
37313309,38455869,97.03
37394057,37959549,98.51
37309108,38033579,98.1
37146299,37858271,98.12
32426310,33130569,97.87
34602181,35126615,98.51
37028220,37749099,98.09
37220979,37773524,98.54
37391001,38133842,98.05
37213189,37782822,98.49
37284013,37834795,98.54
33274016,34158090,97.41
33605725,34113827,98.51
29704993,30284889,98.09
33913515,34534091,98.2
37375929,37884820,98.66
37050326,38264378,96.83
37381731,37920319,98.58
37362977,37846230,98.72
37469260,39227095,95.52
37538023,38923625,96.44
37509599,39038220,96.08
37430513,38166671,98.07
37487984,38298608,97.88
37525443,38061128,98.59
37503685,38226685,98.11
37533991,38096583,98.52
37489388,38110154,98.37
37375317,38859353,96.18
37529973,38275707,98.05
37509702,38140465,98.35
36835664,37506557,98.21
36539998,37287333,98
36081213,36920906,97.73
36219648,37033037,97.8
36480644,37626486,96.95
32267470,33327755,96.82
37177714,37663948,98.71
37285724,37807528,98.62
36655770,37256913,98.39
36036785,36624730,98.39
32956280,33486497,98.42
,Avg,97.954435483871
