8429454,8670884,97.22%
10301857,10585338,97.32%
7738719,8034132,96.32%
9288887,9574374,97.02%
9614035,9917267,96.94%
9821282,10078047,97.45%
10124776,10601147,95.51%
9359463,9600700,97.49%
8654668,9090384,95.21%
7905971,8187509,96.56%
8588548,8904572,96.45%
8246348,8496307,97.06%
8068829,8455274,95.43%
8095281,8376115,96.65%
7960650,8319376,95.69%
8146549,8402334,96.96%
8776519,9116162,96.27%
7988707,8195654,97.47%
10545009,10835027,97.32%
9850250,10152003,97.03%
10406457,10688573,97.36%
8330878,8696185,95.80%
8947195,9384173,95.34%
8649117,8891050,97.28%
9290316,9680336,95.97%
9983960,10444913,95.59%
9512505,9968976,95.42%
9248792,9479290,97.57%
9187702,9482118,96.90%
7770595,8013413,96.97%
9672566,9968613,97.03%
8961820,9275164,96.62%
9321866,9599325,97.11%
8161970,8388295,97.30%
10068427,10449661,96.35%
9447365,9904811,95.38%
9961244,10275488,96.94%
9135699,9440726,96.77%
10017974,10446358,95.90%
8432788,8705815,96.86%
8693558,8956863,97.06%
7861735,8225754,95.57%
8479889,8759881,96.80%
8134736,8418239,96.63%
9359500,9793775,95.57%
10229085,10667324,95.89%
9182646,9410125,97.58%
9838060,10102554,97.38%
10301399,10592886,97.25%
8398046,8673496,96.82%
9255615,9637818,96.03%
10129348,10512435,96.36%
8715901,8989357,96.96%
10359243,10844825,95.52%
8062627,8326554,96.83%
9360567,9630594,97.20%
10139939,10446113,97.07%
7885850,8084716,97.54%
8697621,9117934,95.39%
8235127,8450519,97.45%
8430231,8651849,97.44%
8867649,9134239,97.08%
7812498,8012591,97.50%
8283595,8628420,96.00%
10043848,10435604,96.25%
8997403,9314091,96.60%
9027815,9453211,95.50%
9860295,10262079,96.08%
9248559,9708243,95.27%
9322575,9616151,96.95%
8740809,9098295,96.07%
8594051,8994531,95.55%
10323780,10622015,97.19%
8878416,9213372,96.36%
9726783,10137310,95.95%
8249588,8460967,97.50%
10382269,10869291,95.52%
9272479,9587994,96.71%
9433411,9713957,97.11%
8150397,8438415,96.59%
8796432,9190730,95.71%
10398930,10871880,95.65%
8645350,9060563,95.42%
9246756,9509308,97.24%
9635345,10044539,95.93%
9017597,9253311,97.45%
10047426,10512399,95.58%
9112569,9457001,96.36%
9508073,9899992,96.04%
10148238,10546892,96.22%
8652598,8993166,96.21%
9229643,9472683,97.43%
8859416,9162296,96.69%
8340635,8583261,97.17%
10160164,10443308,97.29%
9540621,9788019,97.47%
8890910,9214754,96.49%
9449967,9826659,96.17%
8581412,8876778,96.67%
10087144,10522334,95.86%
8733032,8966627,97.39%
8145158,8497075,95.86%
9430910,9846411,95.78%
8637112,8989198,96.08%
10067244,10350132,97.27%
8077869,8475444,95.31%
8059113,8381773,96.15%
8530627,8905003,95.80%
8069701,8462746,95.36%
9843690,10164767,96.84%
8217477,8528140,96.36%
9509659,9880971,96.24%
9918370,10404287,95.33%
9412285,9795817,96.08%
8152238,8474697,96.20%
9747901,10011957,97.36%
10459333,10820223,96.66%
9685749,10000860,96.85%
10039698,10341190,97.08%
8643297,8973201,96.32%
8555341,8953664,95.55%
8845649,9076799,97.45%
10046591,10294433,97.59%
7823743,8184608,95.59%
10140527,10644805,95.26%
9980515,10450913,95.50%
7819546,8150884,95.93%
9548796,9980537,95.67%
8301651,8666761,95.79%
9378674,9612249,97.57%
9576004,9967346,96.07%
9751869,10033531,97.19%
9823357,10081370,97.44%
9733171,9979691,97.53%
9459622,9778915,96.73%
9803269,10278303,95.38%
8763169,9171344,95.55%
7938204,8141020,97.51%
9006186,9359544,96.22%
10198909,10651812,95.75%
9486957,9866894,96.15%
8954233,9361995,95.64%
9979554,10294316,96.94%
10464827,10761773,97.24%
8253389,8573220,96.27%
9736010,10078660,96.60%
8114681,8427805,96.28%
8983558,9341955,96.16%
9051106,9479254,95.48%
9066031,9505612,95.38%
7693677,8042540,95.66%
9411984,9764954,96.39%
7737826,8014060,96.55%
8159404,8496700,96.03%
10021742,10320099,97.11%
9902065,10252554,96.58%
7843243,8230343,95.30%
9885107,10301331,95.96%
9302756,9601306,96.89%
7976037,8313361,95.94%
7862088,8237446,95.44%
8036152,8250170,97.41%
9255211,9668448,95.73%
8310993,8608653,96.54%
10021930,10407477,96.30%
7768473,8026163,96.79%
7984870,8234821,96.96%
7888100,8101620,97.36%
8207535,8420049,97.48%
8386239,8737553,95.98%
9655984,10048038,96.10%
10512613,10787143,97.46%
8933464,9271936,96.35%
9968222,10296953,96.81%
9570311,9847331,97.19%
8940039,9217775,96.99%
10426107,10796206,96.57%
10397437,10731848,96.88%
7678309,8021609,95.72%
7764165,8046330,96.49%
9687473,10026646,96.62%
9554205,9916602,96.35%
8979950,9386334,95.67%
10080845,10469720,96.29%
9195480,9623553,95.55%
9243527,9513410,97.16%
8574601,8888843,96.46%
9246750,9579936,96.52%
9448912,9791551,96.50%
10058913,10404489,96.68%
10371467,10791821,96.10%
9524167,9915083,96.06%
10090770,10404610,96.98%
9144885,9599044,95.27%
8321250,8681494,95.85%
9150733,9495107,96.37%
8396213,8665807,96.89%
10347131,10848442,95.38%
9886742,10174418,97.17%
9725280,10160548,95.72%
10304788,10641208,96.84%
8823402,9202739,95.88%
9367965,9830463,95.30%
7692427,8048207,95.58%
8461136,8732343,96.89%
8021332,8224435,97.53%
9424483,9754640,96.62%
9208422,9486701,97.07%
9290720,9611289,96.66%
10021410,10355464,96.77%
8311028,8663604,95.93%
8001562,8245608,97.04%
9106891,9388564,97.00%
8473253,8699952,97.39%
8713345,8953417,97.32%
10465913,10767305,97.20%
9161864,9443458,97.02%
9657141,9958696,96.97%
8269221,8561777,96.58%
9182047,9591310,95.73%
9262558,9647583,96.01%
8627572,8890856,97.04%
8770385,9099706,96.38%
8305948,8706753,95.40%
7945746,8201415,96.88%
8167476,8401857,97.21%
8239054,8482176,97.13%
7704562,8030524,95.94%
10064378,10392663,96.84%
8474742,8773388,96.60%
8571069,8866168,96.67%
7843599,8235627,95.24%
7714414,8070476,95.59%
8985598,9405366,95.54%
7668351,8040911,95.37%
8782044,9157119,95.90%
8727018,9120274,95.69%
10144348,10455125,97.03%
9570807,9901012,96.66%
9518605,9788272,97.24%
10088897,10444616,96.59%
8786635,9098839,96.57%
10023449,10318029,97.14%
9019758,9362569,96.34%
10582415,10858362,97.46%
8153881,8399989,97.07%
9183155,9584941,95.81%
8648144,8998051,96.11%
7827883,8027093,97.52%
9522519,9940312,95.80%
8123141,8342206,97.37%
9321927,9663871,96.46%
8070077,8443431,95.58%
8853392,9190987,96.33%
8890123,9132241,97.35%
9588108,9922001,96.63%
10307628,10825843,95.21%
8176359,8493435,96.27%
9063917,9360835,96.83%
8404831,8745005,96.11%
9184211,9449730,97.19%
10245043,10535092,97.25%
8056417,8449774,95.34%
8199987,8433455,97.23%
8504658,8782966,96.83%
8699324,9016485,96.48%
7861950,8102642,97.03%
7848071,8230525,95.35%
8555450,8862284,96.54%
9787531,10048422,97.40%
9255603,9597929,96.43%
9316092,9765671,95.40%
8018194,8275984,96.89%
8041528,8376463,96.00%
8898368,9300017,95.68%
8325249,8644764,96.30%
7917663,8232620,96.17%
8935142,9344396,95.62%
10473480,10880856,96.26%
9643647,9984914,96.58%
8758797,9102232,96.23%
8807800,9192148,95.82%
9841467,10114211,97.30%
8160579,8566418,95.26%
8048271,8265511,97.37%
10141436,10502752,96.56%
7782968,8102102,96.06%
8368577,8720236,95.97%
8306696,8687456,95.62%
8125549,8325594,97.60%
9255052,9616833,96.24%
10506158,10835165,96.96%
9266407,9632343,96.20%
10338210,10646673,97.10%
8974002,9289612,96.60%
10272384,10554514,97.33%
8367221,8634707,96.90%
10577776,10993392,96.22%
9852829,10298390,95.67%
8308988,8581185,96.83%
,,96.46%
