misses,refs,ratio
8604607,9578768,89.83
10364685,11609190,89.28
10019835,11293773,88.72
10150635,11563722,87.78
10176239,11563908,88
10123682,11525139,87.84
10153819,11452537,88.66
10276111,11585243,88.7
10168139,11415896,89.07
10290839,11630695,88.48
10269736,11602910,88.51
10379638,11650733,89.09
10106624,11516208,87.76
9849558,11023568,89.35
9567962,10852952,88.16
10055680,11399705,88.21
10155099,11461737,88.6
9894312,11242259,88.01
10103182,11465254,88.12
10278375,11534480,89.11
10193038,11621295,87.71
10279749,11590652,88.69
10352279,11605694,89.2
10193092,11559415,88.18
10162112,11580754,87.75
10254555,11594929,88.44
10346310,11606809,89.14
10252012,11592053,88.44
10326869,11552600,89.39
10238907,11535497,88.76
10140793,11620022,87.27
10420096,11606255,89.78
10121212,11573713,87.45
10264116,11604427,88.45
10315284,11566813,89.18
10271088,11541845,88.99
10332756,11624205,88.89
10165573,11592625,87.69
10297506,11600210,88.77
10207916,11611780,87.91
10259290,11612100,88.35
10171644,11549499,88.07
9825783,11225618,87.53
9803055,11199652,87.53
9964078,11213232,88.86
9984055,11287795,88.45
9732456,11027029,88.26
9205241,10562525,87.15
9783380,11065920,88.41
10040204,11279861,89.01
10335899,11584733,89.22
9829065,10968714,89.61
10117472,11241636,90
9961436,11336561,87.87
9888039,11357729,87.06
10133351,11319650,89.52
9990449,11334750,88.14
10155331,11292484,89.93
10112895,11325899,89.29
10066641,11317191,88.95
9909357,11348324,87.32
10006512,11295307,88.59
9872058,11257906,87.69
9607158,10838400,88.64
10148137,11514963,88.13
10085266,11494490,87.74
10165031,11496303,88.42
10081633,11466826,87.92
10083136,11462017,87.97
10270330,11561781,88.83
10114237,11441445,88.4
10328230,11606057,88.99
10189138,11497560,88.62
10331153,11479059,90
10032367,11443329,87.67
10091418,11457105,88.08
10107515,11431254,88.42
10268497,11455262,89.64
10229467,11483461,89.08
10135411,11484885,88.25
10020141,11326032,88.47
9621604,10802295,89.07
9251133,10455621,88.48
9196703,10529772,87.34
9468025,10710435,88.4
9739657,10821841,90
9505605,10739583,88.51
9950884,11110858,89.56
9676298,10990797,88.04
9279631,10483090,88.52
9781272,10959408,89.25
9888854,11192817,88.35
10009365,11324092,88.39
9748675,11029160,88.39
9925073,11141752,89.08
9981748,11355800,87.9
9092157,10361432,87.75
9717988,10928911,88.92
9976585,11325445,88.09
10154370,11432527,88.82
10131573,11386349,88.98
10176795,11380893,89.42
10104130,11428719,88.41
10100958,11405779,88.56
8765200,9890770,88.62
9477784,10693652,88.63
8735670,9815359,89
,,88.541308411215
