misses,refs,ratio
8455912,8568430,98.69
23759394,24467019,97.11
16514791,16943831,97.47
31293035,31813885,98.36
33155953,33651771,98.53
34098768,34586397,98.59
33206981,33760280,98.36
32967271,33599437,98.12
31788014,32349570,98.26
26539852,27087402,97.98
29746629,30451095,97.69
28795500,29559667,97.41
22954934,23899228,96.05
22084401,22997831,96.03
27968917,28531942,98.03
34163518,34784734,98.21
34478430,35070416,98.31
33785791,34356914,98.34
27638902,28410115,97.29
26731459,27567768,96.97
29217153,30022924,97.32
23770197,24170877,98.34
23408841,24361299,96.09
30444334,30982847,98.26
32355152,32949006,98.2
26261488,27273815,96.29
29736819,30857836,96.37
28581193,29657810,96.37
22500012,23473350,95.85
29407644,30037547,97.9
32301444,32817739,98.43
30507629,31142026,97.96
24996861,26016326,96.08
28868804,29522353,97.79
29695628,30086223,98.7
30398762,31030512,97.96
31278696,31767834,98.46
25735131,26525286,97.02
29850514,30540668,97.74
32655800,33205768,98.34
34081222,34608815,98.48
34601876,35090844,98.61
31773320,32342537,98.24
33480025,34035216,98.37
32636812,33200280,98.3
34643123,35097815,98.7
34197666,34643506,98.71
34190849,34654985,98.66
33614202,34174795,98.36
34803774,35379770,98.37
33938174,34482426,98.42
32381127,32898238,98.43
33391893,33881214,98.56
33293134,33795550,98.51
32769554,33322613,98.34
31792440,32414770,98.08
23395710,24356484,96.06
28539425,29247386,97.58
32146825,32721672,98.24
32079575,32612426,98.37
31727302,32313123,98.19
34738188,35258591,98.52
32600988,33061696,98.61
33167177,33594206,98.73
32754701,33259194,98.48
31635208,32081026,98.61
25261183,26161191,96.56
32030536,32641307,98.13
32927549,33477089,98.36
32008863,32535371,98.38
33863139,34357655,98.56
33658806,34100474,98.7
32952825,33466417,98.47
32042804,32564982,98.4
31947240,32509929,98.27
31728380,32244984,98.4
31781152,32363824,98.2
34017824,34587865,98.35
34546206,35130428,98.34
31685923,32247765,98.26
33286949,33841022,98.36
32104173,32679140,98.24
34597679,35217214,98.24
27259450,27879639,97.78
28073334,28672611,97.91
34112407,34649958,98.45
33985365,34532670,98.42
32283946,32855960,98.26
31268641,31751470,98.48
33875216,34351424,98.61
32288747,32746064,98.6
30159017,30745397,98.09
28901039,29591273,97.67
24564524,25358317,96.87
26272044,27002531,97.29
32400441,32908632,98.46
32325628,32901801,98.25
26937810,27623404,97.52
17992455,19167536,93.87
21662840,22582529,95.93
28140423,28844504,97.56
26901438,27642942,97.32
31117414,31768870,97.95
31158196,31701676,98.29
31809763,32327327,98.4
33745013,34251326,98.52
32145431,32643698,98.47
31765801,32386588,98.08
31460071,32066429,98.11
33943363,34350759,98.81
33648583,34104379,98.66
34581524,35022751,98.74
33850865,34293679,98.71
35231119,35655296,98.81
33014127,33464925,98.65
34840193,35365622,98.51
34977706,35492384,98.55
29937043,30541915,98.02
33690234,34166323,98.61
31130017,31571587,98.6
28087867,28578519,98.28
,,98.0010743801653
